,Nom,Infos,Prix,Date
93,Gigabyte GeForce RTX 4060 Ti AERO OC 8G,8 Go GDDR6 - Dual HDMI/Dual DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4060 Ti),499€95,2024-10-20
94,Gigabyte GeForce RTX 4060 Ti EAGLE OC 8G,8 Go GDDR6 - Dual HDMI/Dual DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4060 Ti),479€95,2024-10-20
95,Gigabyte GeForce RTX 4060 Ti GAMING OC 8G,8 Go GDDR6 - Dual HDMI/Dual DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4060 Ti),469€95,2024-10-20
96,Gigabyte GeForce RTX 4060 Ti WINDFORCE OC 16G,16 Go GDDR6 - Dual HDMI/Dual DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4060 Ti),499€95,2024-10-20
97,Gigabyte GeForce RTX 4060 WINDFORCE OC 8G,8 Go GDDR6 - Dual HDMI/Dual DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4060),349€95,2024-10-20
98,Gigabyte GeForce RTX 4070 Ti SUPER AI TOP 16G,16 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 Ti SUPER),1 099€95,2024-10-20
99,Gigabyte GeForce RTX 4070 Ti SUPER WINDFORCE MAX OC 16G,16 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 Ti SUPER),949€95,2024-10-20
100,Gigabyte GeForce RTX 4070 WINDFORCE 2X OC 12G V2,12 Go GDDR6 - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070),599€95,2024-10-20
101,Gigabyte GeForce RTX 4070 WINDFORCE OC 12G V2,12 Go GDDR6 - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070),619€95,2024-10-20
102,Gigabyte GT 1030 Low Profile D4 2G,2 Go GDDR4 - HDMI/DVI - PCI Express (NVIDIA GeForce GT 1030),89€95,2024-10-20
103,Gigabyte GT 1030 OC 2G,2048 Mo HDMI/DVI - PCI Express (NVIDIA GeForce avec CUDA GT 1030),99€95,2024-10-20
104,Gigabyte Radeon RX 6400 D6 Low Profile 4G,4 Go GDDR6 - HDMI/DisplayPort - PCI Express (AMD Radeon RX 6400),189€95,2024-10-20
105,Gigabyte Radeon RX 6500 XT EAGLE 4G,4 Go GDDR6 - HDMI/DisplayPort - PCI Express (AMD Radeon RX 6500 XT),219€95,2024-10-20
106,Gigabyte Radeon RX 6600 EAGLE 8G,8 Go GDDR6 - Dual HDMI/Dual DisplayPort - PCI Express (AMD Radeon RX 6600),244€96,2024-10-20
107,Gigabyte Radeon RX 7600 GAMING OC 8G,8 Go GDDR6 - Dual HDMI/Dual DisplayPort - PCI Express (AMD Radeon RX 7600),299€95,2024-10-20
108,Gigabyte Radeon RX 7600 XT GAMING OC 16G,16 Go GDDR6 - Dual HDMI/Dual DisplayPort - PCI Express (AMD Radeon RX 7600 XT),369€95,2024-10-20
109,Gigabyte Radeon RX 7700 XT GAMING OC 12G,12 Go GDDR6 - Dual HDMI/Dual DisplayPort - PCI Express (AMD Radeon RX 7700 XT),459€95,2024-10-20
110,Gigabyte Radeon RX 7800 XT GAMING OC 16G,16 Go GDDR6 - Dual HDMI/Dual DisplayPort - PCI Express (AMD Radeon RX 7800 XT),549€95,2024-10-20
111,Gigabyte Radeon RX 7800 XT GAMING OC Bundle The Force,16 Go GDDR6 - Dual HDMI/Dual DisplayPort - PCI Express (AMD Radeon RX 7800 XT) + Sabre connecté LED RGB - lame 36 pouces,599€95,2024-10-20
112,Gigabyte Radeon RX 7900 XT GAMING OC 20G,20 Go GDDR6 - Dual HDMI/Dual DisplayPort - PCI Express (AMD Radeon RX 7900 XT),769€95,2024-10-20
113,Gigabyte Radeon RX 7900 XTX GAMING OC 24G,24 Go GDDR6 - Dual HDMI/Dual DisplayPort - PCI Express (AMD Radeon RX 7900 XTX),1 029€95,2024-10-20
114,Gigabyte AORUS GeForce RTX 4090 AERO OC 24G,24 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4090),2 199€95,2024-10-20
115,Gigabyte GeForce RTX 4070 SUPER GAMING OC 12G,12 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 SUPER),749€95,2024-10-20
116,Gigabyte GeForce RTX 4070 SUPER WINDFORCE OC 12G,12 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 SUPER),699€95,2024-10-20
117,Gigabyte GeForce RTX 4070 Ti SUPER EAGLE OC 16G,16 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 Ti SUPER),999€95,2024-10-20
118,Gigabyte GeForce RTX 4070 Ti SUPER EAGLE OC ICE 16G,16 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 Ti SUPER),999€95,2024-10-20
